county,slope_days_per_year_tasmax_day_CanESM2_historical,slope_days_per_year_tasmax_day_CanESM2_rcp45,avg_annual_days_above_threshold_tasmax_day_CanESM2_historical,avg_annual_days_above_threshold_tasmax_day_CanESM2_rcp45,mean_cv_R2_tasmax_day_CanESM2_historical,mean_cv_R2_tasmax_day_CanESM2_rcp45,cluster
Alameda,-0.004374572795625429,0.029717245240761476,0.7142857142857143,2.5894736842105264,-0.7601269564309616,1.1433826491380472e-05,1
Alpine,0.0,0.0007978723404255322,0.0,0.031578947368421054,1.0,-0.004785676542656159,1
Amador,0.34371155160628836,0.3394036954087347,39.767857142857146,74.46315789473684,-0.7611813866010133,-0.636403686933436,2
Butte,0.2846548188653452,0.39398096304591274,39.30357142857143,74.3157894736842,-0.5668344676561924,-0.3941843459470171,2
Calaveras,0.2974367737525633,0.33677211646136623,37.94642857142857,72.6842105263158,-0.5106987961690352,-0.6359285054695123,2
Colusa,0.28725222146274776,0.440313549832027,47.44642857142857,88.27368421052631,-0.5324591592705846,-0.8641084986050392,2
Contra Costa,0.17245386192754614,0.2979563269876822,14.464285714285714,40.16842105263158,-0.5443142426845158,-2.6452699944028963,0
Del Norte,0.0,0.0007138857782754762,0.0,0.021052631578947368,1.0,-0.005558869687924073,1
El Dorado,0.2029391660970608,0.3576707726763719,29.142857142857142,62.02105263157895,-0.39906020163273836,-0.8583809308359882,0
Fresno,0.36766917293233076,0.2640397536394178,68.07142857142857,97.69473684210526,-1.009467343654795,-0.1587392464888461,2
Glenn,0.3640123034859877,0.462863941769317,49.55357142857143,89.6842105263158,-0.17380231118769854,-0.8224164141847187,2
Humboldt,0.0,0.00026595744680851075,0.0,0.021052631578947368,1.0,-0.011765616365589837,1
Imperial,0.19849624060150375,0.2345324748040314,142.78571428571428,170.32631578947368,-0.5484770288365194,-0.14215238558718632,2
Inyo,0.24326725905673274,0.2028415453527436,45.642857142857146,74.38947368421053,-1.2879823306371758,-0.16918537982475682,2
Kern,0.22317156527682847,0.23951567749160135,75.14285714285714,100.91578947368421,-0.8631756398903606,-0.2410269874252476,2
Kings,0.3271701982228298,0.3303891377379621,57.55357142857143,90.6421052631579,-1.2674286011358626,-0.22047723402730832,2
Lake,0.2012987012987013,0.3166153415453527,37.035714285714285,67.83157894736843,-0.732615385195067,-0.6704313966981188,0
Lassen,0.0980861244019139,0.2829787234042554,7.535714285714286,28.778947368421054,-0.5137253002704987,-0.4101223641573398,0
Los Angeles,0.04835953520164047,0.23173292273236287,5.375,24.305263157894736,-0.12931199357896195,-0.7464444915427799,1
Madera,0.38455228981544776,0.2834266517357224,63.92857142857143,97.14736842105263,-0.5498842327416237,-0.320531376246782,2
Marin,0.047231715652768284,0.09962206047032479,5.428571428571429,13.663157894736843,-0.4063528957208393,-0.37358406614576034,1
Mariposa,0.13492822966507179,0.34000559910414346,30.142857142857142,61.410526315789475,-0.2067991474394148,-0.8452726875894403,0
Mendocino,0.13014354066985648,0.3486002239641658,31.714285714285715,58.21052631578947,-0.5627164624270291,-0.37562307803606404,0
Merced,0.4093643198906357,0.35125979843225086,58.32142857142857,93.84210526315789,-0.521834588522465,-0.4620111676724351,2
Modoc,0.11848940533151063,0.26802911534154544,10.160714285714286,32.17894736842105,-0.9650367033141508,-0.5617130842934304,0
Mono,0.0,0.0,0.0,0.0,1.0,1.0,1
Monterey,0.004066985645933016,0.02480403135498321,1.1964285714285714,3.2736842105263158,-0.3014844126893218,-0.014179423765416232,1
Napa,0.11097060833902939,0.15365341545352745,10.160714285714286,24.51578947368421,-0.3959424044165988,-0.7296826993234768,1
Nevada,0.12108680792891317,0.3270296752519598,7.946428571428571,34.95789473684211,-0.6415211445414627,-0.5412950872663788,0
Orange,0.05389610389610389,0.17574188129899218,4.196428571428571,18.242105263157896,-0.05035900303533656,-0.4909593261112429,1
Placer,0.2930622009569378,0.340313549832027,33.839285714285715,68.91578947368421,-0.7042947379738631,-0.47095835978901146,2
Plumas,0.03800410116199591,0.14504479283314675,2.142857142857143,12.715789473684211,-0.4862833855727322,-0.11559397668021212,1
Riverside,0.20898838004101164,0.3966265397536395,51.339285714285715,95.66315789473684,-0.6591131150582832,-0.8433497281992569,2
Sacramento,0.3629528366370471,0.32924132138857787,38.464285714285715,72.32631578947368,-0.2517141211786119,-0.8481902848087227,2
San Benito,0.0583732057416268,0.15359742441209412,6.714285714285714,19.31578947368421,-0.13735692589034917,-0.5899414646828834,1
San Bernardino,0.18414217361585786,0.34255319148936186,62.75,103.97894736842105,-1.1126075058293021,-0.4661055297787765,2
San Diego,0.0014012303485987714,0.024020156774916018,0.44642857142857145,1.4631578947368422,-0.07921494730130121,-1.0350859946101765,1
San Francisco,0.0008202323991797666,0.02270436730123181,0.25,1.3263157894736841,-0.10599142071776542,-0.17562133879390118,1
San Joaquin,0.3472317156527684,0.36928891377379625,32.17857142857143,70.12631578947368,-0.4774172549085943,-1.913848142439128,2
San Luis Obispo,0.03161312371838688,0.037583986562150076,3.267857142857143,7.526315789473684,-0.07928365397908652,-0.13119628544975995,1
San Mateo,-0.0022898154477101846,0.005011198208286677,0.16071428571428573,0.4842105263157895,-0.10206128259841027,-0.11053397110185208,1
Santa Barbara,0.01291866028708134,0.015537513997760362,0.7857142857142857,2.0105263157894737,-0.049667836885297814,-0.7287121877880443,1
Santa Clara,0.03615857826384142,0.10902855543113105,5.642857142857143,14.578947368421053,-0.32107077884712976,-0.3798550531549253,1
Santa Cruz,-0.002460697197539302,0.04155935050391939,1.25,4.157894736842105,-0.5604109861018826,-0.07267197515896118,1
Shasta,0.3285714285714286,0.358818589025756,67.42857142857143,101.50526315789473,-0.9555172591511866,-0.22189073466443046,2
Sierra,0.0010252904989747093,0.03143896976483764,0.03571428571428571,1.3157894736842106,-0.020000000000000063,-0.28127651030135603,1
Siskiyou,0.16278195488721803,0.46412374020156777,16.125,54.37894736842105,-0.615304669207916,-0.5728098837403606,0
Solano,0.27764866712235126,0.3596444568868982,25.535714285714285,56.242105263157896,-0.3660931868917935,-2.1868440135435017,0
Sonoma,0.10539986329460016,0.14637458006718929,7.571428571428571,20.13684210526316,-0.20796601585976923,-0.5199429472777155,1
Stanislaus,0.2867395762132604,0.3053331466965286,38.642857142857146,69.72631578947369,-0.5260451966410932,-0.8381978095339682,2
Sutter,0.44395078605604926,0.35551511758118703,55.32142857142857,95.42105263157895,-0.3763092377276254,-0.3688093217067729,2
Tehama,0.3574504442925496,0.37278835386338194,64.80357142857143,98.97894736842105,-1.4993228223540647,-0.4349269012012666,2
Trinity,0.16165413533834588,0.39526875699888014,24.142857142857142,56.242105263157896,-0.2395936906343678,-0.47322236524162753,0
Tulare,0.21496924128503078,0.2807390817469205,54.42857142857143,85.26315789473684,-0.687443375356808,-0.350737641739818,2
Tuolumne,0.3294600136705399,0.33022116461366186,40.464285714285715,73.9578947368421,-0.5485801048910232,-0.5178848446402198,2
Ventura,0.02122351332877649,0.10274356103023517,1.2678571428571428,7.873684210526315,-0.2927813705273813,-1.0582815361174103,1
Yolo,0.44429254955570746,0.378387458006719,52.17857142857143,92.65263157894736,-0.22068257094269228,-0.5499387235776491,2
Yuba,0.44002050580997953,0.346402575587906,55.80357142857143,95.73684210526316,-0.38216090594070906,-0.3216360758823964,2
